TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,04/10/2019,UTA @ LAC,L,266,137,47,106,44.3,14,35,40,29,33,87.9,17,40,57,31,8,11,17,24,-6
SAS,04/10/2019,SAS vs. DAL,W,242,105,41,88,46.6,8,24,33.3,15,18,83.3,8,45,53,22,6,2,10,14,11
SAC,04/10/2019,SAC @ POR,L,240,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,5,1,10,17,-5
POR,04/10/2019,POR vs. SAC,W,240,136,53,91,58.2,14,24,58.3,16,22,72.7,14,30,44,19,5,2,12,17,5
PHI,04/10/2019,PHI vs. CHI,W,240,125,52,93,55.9,12,26,46.2,9,15,60,9,38,47,30,4,10,6,11,16
ORL,04/10/2019,ORL @ CHA,W,240,122,48,88,54.5,11,30,36.7,15,20,75,9,30,39,24,5,2,6,19,8
OKC,04/10/2019,OKC @ MIL,W,240,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,12,20,11
NYK,04/10/2019,NYK vs. DET,L,241,89,31,77,40.3,9,30,30,18,25,72,4,29,33,23,7,5,11,17,-26
MIN,04/10/2019,MIN @ DEN,L,240,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,6,0,10,22,-4
MIL,04/10/2019,MIL vs. OKC,L,241,116,43,100,43,15,46,32.6,15,21,71.4,11,42,53,27,7,1,14,14,-11
MIA,04/10/2019,MIA @ BKN,L,240,94,38,98,38.8,8,41,19.5,10,15,66.7,8,46,54,22,9,4,14,12,-19
MEM,04/10/2019,MEM vs. GSW,W,239,132,48,98,49,21,46,45.7,15,18,83.3,15,34,49,25,9,0,11,18,15
LAC,04/10/2019,LAC vs. UTA,W,264,143,54,106,50.9,12,28,42.9,23,30,76.7,12,40,52,34,7,5,12,27,6
IND,04/10/2019,IND @ ATL,W,239,135,45,98,45.9,12,30,40,33,39,84.6,13,30,43,22,12,7,8,28,1
GSW,04/10/2019,GSW @ MEM,L,239,117,46,92,50,13,30,43.3,12,14,85.7,9,30,39,32,3,5,14,17,-15
DET,04/10/2019,DET @ NYK,W,241,115,41,85,48.2,14,33,42.4,19,20,95,11,45,56,25,5,2,13,23,26
DEN,04/10/2019,DEN vs. MIN,W,241,99,39,87,44.8,10,33,30.3,11,17,64.7,12,41,53,23,6,4,12,12,4
DAL,04/10/2019,DAL @ SAS,L,242,94,37,91,40.7,11,37,29.7,9,12,75,7,35,42,27,5,4,7,19,-11
