TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,06/13/2019,GSW vs. TOR,L,240,110,39,80,48.8,11,31,35.5,21,30,70,11,31,42,28,9,6,16,23,-4
TOR,06/13/2019,TOR @ GSW,W,241,114,39,82,47.6,13,33,39.4,23,29,79.3,11,28,39,25,8,2,12,23,4
GSW,06/10/2019,GSW @ TOR,W,240,106,38,82,46.3,20,42,47.6,10,14,71.4,6,31,37,27,5,7,15,22,1
TOR,06/10/2019,TOR vs. GSW,L,238,105,38,85,44.7,8,32,25,21,27,77.8,13,30,43,19,6,5,13,19,-1
TOR,06/07/2019,TOR @ GSW,W,241,105,36,86,41.9,10,32,31.3,23,24,95.8,7,32,39,22,12,4,9,21,13
TOR,06/05/2019,TOR @ GSW,W,239,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14
GSW,06/05/2019,GSW vs. TOR,L,241,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,-14
TOR,06/02/2019,TOR vs. GSW,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5
GSW,06/02/2019,GSW @ TOR,W,240,109,38,82,46.3,13,34,38.2,20,23,87,6,36,42,34,7,5,15,26,5
TOR,05/30/2019,TOR vs. GSW,W,241,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9
GSW,05/30/2019,GSW @ TOR,L,239,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,-9
TOR,05/25/2019,TOR vs. MIL,W,239,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6
TOR,05/23/2019,TOR @ MIL,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6
TOR,05/21/2019,TOR vs. MIL,W,239,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18
MIL,05/21/2019,MIL @ TOR,L,241,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,-18
POR,05/20/2019,POR vs. GSW,L,265,117,47,98,48,16,41,39,7,10,70,6,32,38,31,5,6,12,15,-2
GSW,05/20/2019,GSW @ POR,W,264,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2
MIL,05/19/2019,MIL @ TOR,L,291,112,38,102,37.3,14,44,31.8,22,33,66.7,13,50,63,22,14,5,20,30,-6
TOR,05/19/2019,TOR vs. MIL,W,290,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6
GSW,05/18/2019,GSW @ POR,W,239,110,41,84,48.8,8,26,30.8,20,23,87,7,42,49,27,9,5,13,24,11
MIL,05/17/2019,MIL vs. TOR,W,240,125,43,92,46.7,13,41,31.7,26,35,74.3,11,42,53,27,6,4,7,26,22
TOR,05/17/2019,TOR @ MIL,L,240,103,37,87,42.5,10,32,31.3,19,25,76,6,34,40,19,3,6,13,30,-22
GSW,05/16/2019,GSW vs. POR,W,242,114,42,82,51.2,9,29,31,21,27,77.8,12,38,50,30,4,9,16,21,3
POR,05/16/2019,POR @ GSW,L,241,111,38,86,44.2,18,39,46.2,17,18,94.4,10,27,37,23,8,1,13,22,-3
TOR,05/15/2019,TOR @ MIL,L,239,100,34,92,37,15,42,35.7,17,20,85,8,38,46,17,9,4,12,21,-8
MIL,05/15/2019,MIL vs. TOR,W,241,108,37,93,39.8,11,44,25,23,27,85.2,15,45,60,21,8,11,12,16,8
GSW,05/14/2019,GSW vs. POR,W,240,116,42,84,50,17,33,51.5,15,18,83.3,11,31,42,30,13,8,14,24,22
POR,05/12/2019,POR @ DEN,W,239,100,38,93,40.9,4,26,15.4,20,24,83.3,12,43,55,16,5,7,4,31,4
HOU,05/10/2019,HOU vs. GSW,L,240,113,42,89,47.2,17,39,43.6,12,17,70.6,12,28,40,21,9,1,15,22,-5
GSW,05/10/2019,GSW @ HOU,W,241,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,5
POR,05/09/2019,POR vs. DEN,W,241,119,41,89,46.1,15,33,45.5,22,30,73.3,11,32,43,18,4,5,9,20,11
